System,,,,3,2021-07-26 15:27:00,2021-07-26 15:27:00,5,127.0.0.1,127.0.0.1:9991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",http://127.0.0.1:9991/api/User/getVierificationCode,0,,0
Login,"{""UserName"":""admin"",""PassWord"":"""",""VerificationCode"":""XXXXXX"",""UUID"":""9f820108-cd3d-4eea-a9f2-73f355ff2ea6""}",登录成功,,3,2021-07-26 15:27:02,2021-07-26 15:27:02,13,127.0.0.1,127.0.0.1:9991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",http://127.0.0.1:9991/api/user/login,0,,0
System,,,,3,2021-07-26 15:27:02,2021-07-26 15:27:02,15,127.0.0.1,127.0.0.1:9991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",http://127.0.0.1:9991/api/user/login,0,,0
System,,,,3,2021-07-26 15:27:02,2021-07-26 15:27:02,4,127.0.0.1,127.0.0.1:9991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",http://127.0.0.1:9991/api/menu/getTreeMenu,1,超级管理员,1
