Login,"{""UserName"":""admin"",""PassWord"":"""",""VerificationCode"":""XXXXXX"",""UUID"":""2b8efd39-5189-4cd6-83ba-a89e92d7e1be""}",登录成功,,3,2021-07-26 15:43:35,2021-07-26 15:43:35,7,127.0.0.1,127.0.0.1:9991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",http://127.0.0.1:9991/api/user/login,0,,0
System,,,,3,2021-07-26 15:43:35,2021-07-26 15:43:35,8,127.0.0.1,127.0.0.1:9991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",http://127.0.0.1:9991/api/user/login,0,,0
System,,,,3,2021-07-26 15:43:35,2021-07-26 15:43:35,2,127.0.0.1,127.0.0.1:9991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",http://127.0.0.1:9991/api/menu/getTreeMenu,1,超级管理员,1
System,,,,3,2021-07-26 15:43:37,2021-07-26 15:43:37,1,127.0.0.1,127.0.0.1:9991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",http://127.0.0.1:9991/api/Sys_Dictionary/GetVueDictionary,1,超级管理员,1
System,,,,3,2021-07-26 15:43:37,2021-07-26 15:43:37,9,127.0.0.1,127.0.0.1:9991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",http://127.0.0.1:9991/api/Tenant/getPageData,1,超级管理员,1
